Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,8597,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,8070,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,6378,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,6803,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,6265,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,12723,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,12370,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,11730,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,10933,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,9683,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,10390,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,10115,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,10790,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,11244,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,11178,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,11954,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,11163,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,11335,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,45-49 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,11176,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,7098,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,7412,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,7760,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,8318,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,8795,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,9093,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,50-54 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,9329,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,55-59 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,4621,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,55-59 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,4745,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,55-59 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,5202,,27_385_DF_DCIS_DIVORDEMCONG_5
