Frequenza,Territorio,Indicatore,Rito di esaurimento,Periodo tra la separazione e l'iscrizione a ruolo del procedimento,Modalità di esaurimento,Con figli affidati,Durata del matrimonio,Anno di matrimonio,Numero di figli,Coniuge che ha presentato la domanda di divorzio con rito giudiziale,Tipo di affidamento,Numero di figli affidati,Età dei figli affidati,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2014,481,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2008,8580,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2009,9228,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2010,8824,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2011,8858,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2012,8119,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2013,9079,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2014,8302,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2008,15741,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2009,16821,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2010,16471,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2011,16490,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2012,14993,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2013,16498,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2014,15516,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2008,6574,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2009,7071,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2010,7198,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2011,7152,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2012,6386,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2013,7007,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2014,6733,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2008,19307,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2009,18426,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2010,18846,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2011,17895,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2012,17589,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2013,17301,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2014,17539,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2008,163,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2009,159,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2010,147,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2011,141,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2012,158,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2013,122,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2014,111,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2008,2736,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2009,2661,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2010,2514,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2011,2442,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2012,2396,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2013,2542,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2014,2352,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2008,4988,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2009,4957,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2010,4731,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2011,4615,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2012,4573,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2013,4782,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2014,4483,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2008,2089,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2009,2137,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2010,2070,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2011,2032,,27_814_DF_DCIS_DIVFIG_10
