Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,2789,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,3044,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,3306,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,3384,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,3912,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,3730,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,3766,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2008,0,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2009,2,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2010,0,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2011,1,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2012,0,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2013,0,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2014,0,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2008,22,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2009,9,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2010,10,,27_385_DF_DCIS_DIVORDEMCONG_4
