Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2018,30,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2019,25,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2020,15,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2021,23,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2022,34,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2015,71,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2016,80,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2017,79,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2018,53,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2019,49,,27_470_DF_DCIS_DIVORDEMCONG1_6
