Frequenza,Territorio,Indicatore,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Piemonte,separazioni concesse,2008,7803,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse,2009,7734,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse,2010,7397,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse,2011,7172,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse,2012,6864,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse,2013,7379,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse,2014,6201,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse rispetto ai coniugati (valori per centomila),2007,328.9,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse rispetto ai coniugati (valori per centomila),2008,345.9,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse rispetto ai coniugati (valori per centomila),2009,343.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse rispetto ai coniugati (valori per centomila),2010,330.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse rispetto ai coniugati (valori per centomila),2011,326.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse rispetto ai coniugati (valori per centomila),2012,318.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse rispetto ai coniugati (valori per centomila),2013,341.3,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse rispetto ai coniugati (valori per centomila),2014,287,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,numero di separazioni esaurite con rito consensuale,2007,6729,,27_349_DF_DCIS_SEPARAZIND_1
